frame,box_area,area_ratio,block_diff,status,is_approaching,overtake_chance,overtake_status,duration_penalty,size_score,speed_score
1,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
2,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
3,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
4,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
5,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
6,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
7,4125,1.0,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
8,4582,1.1107878787878789,0.0,⏳ COLLECTING DATA...,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
9,5063,1.2273939393939395,0.0,⏳ COLLECTING DATA...,False,11,👀 WATCHING FOR OVERTAKE,0.0,1.3696969696969765,0.0
10,4125,1.0676363636363637,279.0,📈 APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
11,3692,0.8950303030303031,279.0,📈 APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
12,3692,0.8950303030303031,279.0,📈 APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
13,4125,1.0,279.0,📈 APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
14,4125,1.0,279.0,📈 APPROACHING,True,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
15,4125,0.9580121212121212,-452.1999999999998,📉 MOVING AWAY,False,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
16,4125,1.0,-452.1999999999998,📉 MOVING AWAY,False,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
17,4125,1.0,-452.1999999999998,📉 MOVING AWAY,False,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
18,4125,1.0,-452.1999999999998,📉 MOVING AWAY,False,1,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
19,4125,1.0,-452.1999999999998,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
20,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
21,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
22,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
23,4582,1.1107878787878789,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
24,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
25,4125,1.0221575757575756,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
26,3692,0.8950303030303031,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
27,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
28,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
29,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
30,3692,0.9580121212121212,-264.59999999999945,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
31,4125,1.0,-264.59999999999945,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
32,4125,1.0,-264.59999999999945,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
33,4125,1.0,-264.59999999999945,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
34,4125,1.0,-264.59999999999945,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
35,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
36,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
37,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
38,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
39,4125,1.0,173.19999999999982,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
40,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
41,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
42,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
43,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
44,4582,1.1107878787878789,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
45,4125,1.0221575757575756,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
46,4582,1.1107878787878789,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
47,4582,1.1107878787878789,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
48,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
49,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
50,4125,1.0443151515151516,91.40000000000055,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
51,4125,1.0,91.40000000000055,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
52,4125,1.0,91.40000000000055,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
53,4125,1.0,91.40000000000055,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
54,4582,1.1107878787878789,91.40000000000055,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
55,4125,1.0221575757575756,-91.40000000000055,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
56,4582,1.1107878787878789,-91.40000000000055,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
57,4125,1.0,-91.40000000000055,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
58,4125,1.0,-91.40000000000055,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
59,4125,1.0,-91.40000000000055,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
60,4125,1.0221575757575756,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
61,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
62,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
63,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
64,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
65,4125,1.0,-91.39999999999964,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
66,4582,1.1107878787878789,-91.39999999999964,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
67,4125,1.0,-91.39999999999964,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
68,4125,1.0,-91.39999999999964,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
69,4125,1.0,-91.39999999999964,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
70,4125,1.0221575757575756,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
71,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
72,4582,1.1107878787878789,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
73,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
74,4125,1.0,91.39999999999964,📈 APPROACHING,True,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
75,4125,1.0221575757575756,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
76,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
77,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
78,4125,1.0,0.0,📉 MOVING AWAY,False,0,🔒 NO OVERTAKE OPPORTUNITY,0.0,0.0,0.0
